Lot,Final Bid
57397201,1750
45658131,1750
56301291,700
53689431,1150
53222131,3250
50903721,850
51452081,5100
53733881,2250
53001461,7100
55350481,700
49196701,700
53675461,850
54202631,300
46733551,750
41995971,7600
53090351,1300
53069941,2050
57423751,10500
55050221,600
52731531,525
54672661,32000
54059181,60
52447971,525
51747971,2750
40568561,9100
33336121,2100
56055761,275
56675441,2550
50768771,2350
53374161,9000
53429821,1400
52674591,2100
50778121,4000
48785591,1300
52237461,400
44938971,16600
57152671,1700
53885141,700
55322261,14200
55736361,5800
56274241,775
48618751,800
54917541,6500
53188251,21000
50944571,22700
44271811,10000
50940381,700
52973791,850
52957781,3500
52598631,15800
48385641,2300
50198671,3650
51173951,950
52776191,925
52229161,5200
55872371,200
42971151,1350
52906831,12000
53733391,13900
52619331,4550
55248101,950
57295111,1000
51211711,875
55261281,1150
54660671,1200
51929281,950
57264181,2350
56273831,1100
57267581,3150
51981851,725
53318021,1350
53224721,1250
54305831,6800
52682911,6000
57317401,3400
55288041,1250
55723161,2050
54251221,2850
53949771,8900
55896251,38000
55029431,1900
53003891,3400
57315651,4600
54251471,1800
55287491,1550
56449501,1100
55394061,8500
54163581,15000
56702681,5900
55543771,700
50616561,600
57427191,3250
53171851,600
53206751,475
55335181,2200
54920861,375
52730941,1900
52219361,500
52391781,625
57108201,725
53702781,975
52426781,7000
48169451,975
52399441,7500
50444451,4050
55449661,18300
52680351,1300
53372541,19100
53192941,1550
54828651,9700
53035191,1450
50387911,800
55134331,2400
54727441,3600
56449121,3450
52974731,16000
52129061,300
53075751,2400
53024591,700
53125971,4550
52416621,1450
53555561,3550
52290661,2650
54489961,600
49692261,650
36089311,4250
52572411,1800
53163561,12100
55209651,3150
52189381,3050
55224201,1400
55326331,56500
55707551,800
55509731,1450
56551031,4150
57257301,67500
41495290,16900
43311261,2200
50617331,2200
50284211,2700
56780541,72000
49048611,450
55280091,825
57319481,2900
57309051,5000
56450731,8700
57055931,19600
57306651,350
55467601,12100
56825281,12100
57389601,15700
52673151,5300
51873391,2500
52671921,1250
57066741,20000
55187291,475
55793071,8900
55515011,3450
57186071,21800
53088191,2100
53909301,2050
54042391,1800
47488421,850
57507431,41250
55954131,1050
51982681,2000
53680421,2500
50799541,11500
56616351,700
50874771,975
54619581,1250
51888451,1200
53095251,2150
48668091,1850
60075870,12800
53323231,18900
54689861,3150
42353671,9600
54728391,1300
55135141,18200
48127021,2450
37399041,5900
55937921,5400
55514501,200
40203721,200
49720341,900
52571941,1500
46532741,1100
53178181,3100
54835611,2600
48331531,250
48178511,1400
55947111,4600
40899461,1200
45114791,350
56450281,2100
53862981,1700
56033071,4200
57219951,30250
56745851,4300
57220991,4300
57308991,6500
52682241,2200
56182311,13200
56460491,52000
56009771,5300
51083851,1950
54560151,15500
56697061,18200
55819671,13500
55121111,3100
55263651,200
56787291,26750
56135921,15600
57294751,1550
56168991,12900
44343251,7300
40785181,500
57303241,6500
45604441,6700
53282521,7700
40402571,4400
53528641,2300
53283621,6600
52262951,8200
57272261,19400
53063231,1600
52453741,625
53062811,23000
53284971,5900
50287741,650
55043721,1550
57066511,11100
46189211,7500
51726521,9800
55077721,2850
55365941,3850
48019571,4600
57060631,3150
49497321,6100
55030931,6300
52139891,6300
52483791,4700
50981011,2850
53187991,2250
52548321,5700
52712941,6900
53166511,350
55215601,4200
53649861,1750
53726051,175
51634171,4600
54054141,175
54825431,7600
56232941,7600
52637101,5300
55905671,1150
54830691,1550
55778851,1500
56500331,7200
49573951,1500
57130811,1400
56032211,9000
55945791,9000
52970781,1050
55688481,2300
52956861,7700
54640221,1100
55079811,950
52747321,2600
47512451,5400
50841051,3900
